Time,Heart Rate
0,63
5,63
10,63
15,63
20,53
25,63
30,63
35,60
40,60
45,67
50,65
55,65
60,67
65,60
70,64
75,62
80,64
85,68
90,60
95,60
100,60
105,60
110,63
115,62
120,60
125,62
130,61
135,60
140,64
145,53
150,53
155,54
160,53
165,53
170,53
175,53
180,53
185,53
190,54
195,64
200,63
205,64
210,64
215,64
220,63
225,64
230,64
235,64
240,64
245,64
250,54
255,62
260,60
265,63
270,60
275,60
280,60
285,64
290,60
295,62
300,62
305,60
310,54
315,50
320,55
325,55
330,56
335,53
340,52
345,53
350,53
355,53
360,53
365,63
370,63
375,53
380,53
385,53
390,53
395,63
400,63
405,53
410,53
415,53
420,53
425,53
430,53
435,53
440,53
445,53
450,63
455,63
460,53
465,53
470,53
475,53
480,53
485,53
490,53
495,53
500,53
505,53
510,53
515,53
520,53
525,53
530,53
535,53
540,53
545,60
550,60
555,60
560,51
565,54
570,73
575,78
580,72
585,62
590,52
595,53
600,53
605,53
610,53
615,62
620,63
625,63
630,61
635,62
640,53
645,53
650,52
655,51
660,52
665,53
670,53
675,53
680,52
685,53
690,53
695,53
700,53
705,53
710,53
715,52
720,53
725,52
730,53
735,53
740,63
745,63
750,61
755,62
760,61
765,52
770,52
775,62
780,51
785,51
790,51
795,54
800,57
805,50
810,47
815,49
820,38
825,51
830,51
835,51
840,51
845,51
850,51
855,51
860,61
865,51
870,61
875,50
880,51
885,61
890,61
895,51
900,51
905,61
910,51
915,50
920,61
925,60
930,60
935,60
940,52
945,53
950,52
955,52
960,46
965,50
970,64
975,51
980,60
985,69
990,69
995,53
1000,53
1005,53
1010,52
1015,52
1020,60
1025,63
1030,53
1035,63
1040,53
1045,53
1050,63
1055,53
1060,53
1065,53
1070,53
1075,53
1080,53
1085,53
1090,63
1095,63
1100,53
1105,53
1110,53
1115,53
1120,53
1125,53
1130,53
1135,53
1140,53
1145,53
1150,53
1155,52
1160,53
1165,52
1170,52
1175,53
1180,53
1185,53
1190,52
1195,52
1200,53
1205,53
1210,52
1215,52
1220,53
1225,52
1230,52
1235,52
1240,52
1245,53
1250,53
1255,52
1260,52
1265,52
1270,52
1275,52
1280,52
1285,53
1290,52
1295,52
1300,52
1305,52
1310,52
1315,52
1320,52
1325,52
1330,53
1335,53
1340,52
1345,52
1350,52
1355,53
1360,52
1365,52
1370,52
1375,52
1380,52
1385,52
1390,52
1395,52
1400,52
1405,52
1410,52
1415,74
1420,54
1425,55
1430,53
1435,52
1440,53
1445,52
1450,44
1455,50
1460,50
1465,51
1470,50
1475,51
